outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,20,2048,16,0.000926
True,True,True,20,2048,20,0.000748
True,True,True,20,2048,32,0.0005465
True,True,True,20,2048,50,0.0005955
True,True,True,20,2048,64,0.0006505
True,True,True,20,2048,80,0.0006735
True,True,True,20,2048,100,0.000561
True,True,True,20,2048,128,0.0007075
True,True,True,20,2048,256,0.00129
True,True,True,32,4,4,0.0020945
True,True,True,32,4,8,0.001145
True,True,True,32,4,16,0.0007689999999999
True,True,True,32,4,20,0.0008064999999999
True,True,True,32,4,32,0.000699
True,True,True,32,4,50,0.0006414999999999
True,True,True,32,4,64,0.00054
True,True,True,32,4,80,0.00058
True,True,True,32,4,100,0.000719
True,True,True,32,4,128,0.0006235
True,True,True,32,4,256,0.0012575
True,True,True,32,8,4,0.002314
True,True,True,32,8,8,0.0011115
True,True,True,32,8,16,0.0008135
True,True,True,32,8,20,0.000891
True,True,True,32,8,32,0.0007264999999999
True,True,True,32,8,50,0.000639
True,True,True,32,8,64,0.0005665
True,True,True,32,8,80,0.000629
True,True,True,32,8,100,0.0007295
True,True,True,32,8,128,0.0005315
True,True,True,32,8,256,0.001126
True,True,True,32,16,4,0.0019935
True,True,True,32,16,8,0.001104
True,True,True,32,16,16,0.003493
True,True,True,32,16,20,0.000857
True,True,True,32,16,32,0.0006745
True,True,True,32,16,50,0.0006095
True,True,True,32,16,64,0.0004885
True,True,True,32,16,80,0.0005645
True,True,True,32,16,100,0.0006825
True,True,True,32,16,128,0.000559
True,True,True,32,16,256,0.0016595
True,True,True,32,20,4,0.0018715
True,True,True,32,20,8,0.001102
True,True,True,32,20,16,0.000741
True,True,True,32,20,20,0.0008374999999999
True,True,True,32,20,32,0.0007365
True,True,True,32,20,50,0.0007535
True,True,True,32,20,64,0.000535
True,True,True,32,20,80,0.0007084999999999
True,True,True,32,20,100,0.000676
True,True,True,32,20,128,0.000571
True,True,True,32,20,256,0.001313
True,True,True,32,32,4,0.0018055
