outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,16,80,50,1.9914815
True,True,True,16,80,64,1.904611
True,True,True,16,80,80,1.6881015
True,True,True,16,80,100,1.6603145
True,True,True,16,80,128,1.692407
True,True,True,16,80,256,1.80035
True,True,True,16,100,4,10.265856
True,True,True,16,100,8,5.516234
True,True,True,16,100,16,3.0948715
True,True,True,16,100,20,2.8654515
True,True,True,16,100,32,2.2324955
True,True,True,16,100,50,2.0111475
True,True,True,16,100,64,1.924022
True,True,True,16,100,80,1.7081654999999998
True,True,True,16,100,100,1.6847375
True,True,True,16,100,128,1.6580549999999998
True,True,True,16,100,256,1.809616
True,True,True,16,128,4,9.917454500000002
True,True,True,16,128,8,5.407676
True,True,True,16,128,16,3.16134
True,True,True,16,128,20,2.739368
True,True,True,16,128,32,2.2934165
True,True,True,16,128,50,2.0051455
True,True,True,16,128,64,1.944607
True,True,True,16,128,80,1.764578
True,True,True,16,128,100,1.7398805
True,True,True,16,128,128,1.657876
True,True,True,16,128,256,1.7968205000000002
True,True,True,16,2048,4,19.355657
True,True,True,16,2048,8,11.770141
True,True,True,16,2048,16,5.6702325
True,True,True,16,2048,20,4.5951705
True,True,True,16,2048,32,3.402804
True,True,True,16,2048,50,2.935411
True,True,True,16,2048,64,2.4350625
True,True,True,16,2048,80,2.21487
True,True,True,16,2048,100,2.2230865
True,True,True,16,2048,128,2.265672
True,True,True,16,2048,256,2.6066700000000003
True,True,True,20,4,4,15.8295665
True,True,True,20,4,8,12.9003575
True,True,True,20,4,16,5.8642605
True,True,True,20,4,20,4.4645790000000005
True,True,True,20,4,32,3.5259275000000003
True,True,True,20,4,50,3.1612850000000003
True,True,True,20,4,64,2.786676
True,True,True,20,4,80,2.5799755
True,True,True,20,4,100,2.5581750000000003
True,True,True,20,4,128,2.55972
True,True,True,20,4,256,2.703576
True,True,True,20,8,4,12.484917
True,True,True,20,8,8,9.429406
True,True,True,20,8,16,4.594167
True,True,True,20,8,20,4.020062
True,True,True,20,8,32,3.0329330000000003
True,True,True,20,8,50,2.655327
True,True,True,20,8,64,2.351013
True,True,True,20,8,80,2.332894
True,True,True,20,8,100,2.3270115
True,True,True,20,8,128,2.0213195
True,True,True,20,8,256,2.1187325
True,True,True,20,16,4,12.1911645
True,True,True,20,16,8,7.639172
True,True,True,20,16,16,4.0009665000000005
True,True,True,20,16,20,3.223847
True,True,True,20,16,32,2.350676
True,True,True,20,16,50,2.038018
True,True,True,20,16,64,1.83385
True,True,True,20,16,80,1.7646685000000002
True,True,True,20,16,100,1.7207455000000005
True,True,True,20,16,128,1.7146165
True,True,True,20,16,256,1.8684075
True,True,True,20,20,4,10.1225005
True,True,True,20,20,8,6.0448815000000025
True,True,True,20,20,16,4.113297
True,True,True,20,20,20,3.2026195
True,True,True,20,20,32,2.2268705
True,True,True,20,20,50,2.0041315
True,True,True,20,20,64,2.0918270000000003
True,True,True,20,20,80,1.9803025
True,True,True,20,20,100,1.6526999999999998
True,True,True,20,20,128,1.7731294999999998
True,True,True,20,20,256,1.8926755
True,True,True,20,32,4,9.424115
True,True,True,20,32,8,5.3923450000000015
True,True,True,20,32,16,3.78233
True,True,True,20,32,20,3.0035405
True,True,True,20,32,32,2.2140175
True,True,True,20,32,50,2.1155265
True,True,True,20,32,64,1.649013
True,True,True,20,32,80,1.630319
True,True,True,20,32,100,1.5891385
True,True,True,20,32,128,1.6709055
True,True,True,20,32,256,1.7972165
True,True,True,20,50,4,9.182419
True,True,True,20,50,8,5.3257305000000015
